p,u,lam,delta,C,S_max,h_initial,h_final,h_min,h_max,DFR_strict_raw,DFR_strict_smoothed,DFR_approx_smoothed,frac_decreasing_raw,frac_decreasing_smoothed,n_increases_smoothed,n_hazard_points,valid,skip_reason
0.05,0.6,60.0,35.0,100,180,0.04577966594533578,7.859345555044205e-05,7.859345554998261e-05,0.04577966594533578,False,True,True,0.99989999799996,1.0,0,50000,True,
0.05,0.7,70.0,25.0,100,180,0.04974297487705015,0.0002883719276816344,0.00028837192768104634,0.04974297487705015,False,True,True,0.99989999799996,1.0,0,50000,True,
0.05,0.75,75.0,20.0,100,180,0.04995480339792058,0.0005493502699254017,0.0005493502699249191,0.04995480339792058,False,True,True,0.9998800743539006,1.0,0,33355,True,
0.05,0.8,80.0,15.0,100,180,0.0499934608030399,0.0011125680566726436,0.0011125680566722884,0.0499934608030399,False,True,True,0.9997566317838891,1.0,0,16437,True,
0.05,0.85,85.0,10.0,100,180,0.049999205740943964,0.002409190053801552,0.002409190053800904,0.049999205740943964,False,True,True,0.9997355896351137,1.0,0,7565,True,
0.05,0.9,90.0,5.0,100,180,0.04999992208060566,0.005460529885313497,0.0054605298853131045,0.04999992208060566,True,True,True,1.0,1.0,0,3318,True,
0.1,0.6,60.0,30.0,100,180,0.09155933189065013,0.0007227452510816831,0.000722641882436306,0.09155933189065013,False,True,True,0.9995260850677303,0.9999209392418074,0,25322,True,
0.1,0.7,70.0,20.0,100,180,0.09948594975412606,0.002311467295396757,0.0023114292056436903,0.09948594975412606,False,True,True,0.9980993411049164,0.9998729028978139,0,7893,True,
0.1,0.75,75.0,15.0,100,180,0.09990960679580074,0.004007229818286428,0.004007206408096799,0.09990960679580074,False,True,True,0.996253856324372,0.9995569339831635,0,4539,True,
0.1,0.8,80.0,10.0,100,180,0.09998692160411193,0.007029121480717868,0.00702912028802968,0.09998692160411193,False,True,True,0.9922330097087378,1.0,0,2576,True,
0.1,0.85,85.0,5.0,100,180,0.09999841135721099,0.012577156084664294,0.012577156084663981,0.09999841135721099,False,True,True,0.9874037788663401,1.0,0,1430,True,
0.1,0.9,90.0,0.0,100,180,,,,,False,False,False,,,0,0,False,delta<=0
0.15,0.6,60.0,25.0,100,180,0.13733899783596448,0.0026962067506493786,0.0026444883829442934,0.13733899783596448,False,False,True,0.9976313841598816,0.9988114693210518,5,6756,True,
0.15,0.7,70.0,15.0,100,180,0.1492289246312022,0.00757334890298703,0.007473663720943907,0.1492289246312022,False,False,True,0.992050209205021,0.9949281487743026,6,2391,True,
0.15,0.75,75.0,10.0,100,180,0.14986441019368113,0.01216035691226127,0.012069515040083478,0.14986441019368113,False,False,True,0.9844594594594595,0.9910714285714286,8,1481,True,
0.15,0.8,80.0,5.0,100,180,0.14998038240518397,0.019366711242094898,0.01927209202583274,0.14998038240518397,False,False,True,0.9707158351409978,0.9810690423162584,10,923,True,
0.15,0.85,85.0,0.0,100,180,,,,,False,False,False,,,0,0,False,delta<=0
0.15,0.9,90.0,-5.0,100,180,,,,,False,False,False,,,0,0,False,delta<=0
0.2,0.6,60.0,20.0,100,180,0.18311866378127895,0.006837844766211798,0.005026951513467537,0.18311866378127895,False,False,True,0.9928220627125047,0.9946626000762485,10,2648,True,
0.2,0.7,70.0,10.0,100,180,0.19897189950827798,0.01705626282529301,0.01551220007681781,0.19897189950827798,False,False,True,0.9752616555661275,0.9824732229795521,12,1052,True,
0.2,0.75,75.0,5.0,100,180,0.1998192135915613,0.025686081201569767,0.024196780354761756,0.1998192135915613,False,False,True,0.958092485549133,0.9700598802395209,14,693,True,
0.2,0.8,80.0,0.0,100,180,,,,,False,False,False,,,0,0,False,delta<=0
0.2,0.85,85.0,-5.0,100,180,,,,,False,False,False,,,0,0,False,delta<=0
0.2,0.9,90.0,-10.0,100,180,,,,,False,False,False,,,0,0,False,delta<=0
0.25,0.6,60.0,15.0,100,180,0.2288983297265933,0.013922941087826667,0.007951050981408709,0.2288983297265933,False,False,True,0.982170542635659,0.9873617693522907,12,1291,True,
0.25,0.7,70.0,5.0,100,180,0.248714874385354,0.03125130381151997,0.026048261184947265,0.248714874385354,False,False,True,0.9470899470899471,0.9594843462246777,16,568,True,
0.25,0.75,75.0,0.0,100,180,,,,,False,False,False,,,0,0,False,delta<=0
0.25,0.8,80.0,-5.0,100,180,,,,,False,False,False,,,0,0,False,delta<=0
0.25,0.85,85.0,-10.0,100,180,,,,,False,False,False,,,0,0,False,delta<=0
0.25,0.9,90.0,-15.0,100,180,,,,,False,False,False,,,0,0,False,delta<=0
0.3,0.6,60.0,10.0,100,180,0.27467799567190765,0.024589334968173886,0.01179466568789588,0.27467799567190765,False,False,True,0.9640387275242047,0.9713876967095851,15,724,True,
0.3,0.7,70.0,0.0,100,180,,,,,False,False,False,,,0,0,False,delta<=0
0.3,0.75,75.0,-5.0,100,180,,,,,False,False,False,,,0,0,False,delta<=0
0.3,0.8,80.0,-10.0,100,180,,,,,False,False,False,,,0,0,False,delta<=0
0.3,0.85,85.0,-15.0,100,180,,,,,False,False,False,,,0,0,False,delta<=0
0.3,0.9,90.0,-20.0,100,180,,,,,False,False,False,,,0,0,False,delta<=0
