p,u,lam,delta,C,S_max,X0,s_reset,s_star,g_CBM,g_RTF,g_AB_best,T_star_finite,ratio_CBM_to_RTF,E_tau,valid,skip_reason
0.05,0.6,60.0,35.0,100,180,50,50,0,0.008273758905228036,0.008273758905428374,0.008273758905428374,20000,0.9999999999757864,12086.404878729361,True,
0.05,0.7,70.0,25.0,100,180,50,50,0,0.030955454437074474,0.030955454437074474,0.030955454437074474,20000,1.0,3230.448456289914,True,
0.05,0.75,75.0,20.0,100,180,50,50,0,0.0602397890929227,0.060239789093298475,0.060239789093298475,20000,0.999999999993762,1660.0323723763627,True,
0.05,0.8,80.0,15.0,100,180,50,50,8,0.12537134574636616,0.12593723305206025,0.12593723305206025,20000,0.9955065925145412,794.0463481412343,True,
0.05,0.85,85.0,10.0,100,180,50,50,17,0.2784644112836198,0.2861134572716278,0.2861134572716266,12860,0.9732656895591381,349.5116970505267,True,
0.05,0.9,90.0,5.0,100,180,50,50,26,0.65800855460518,0.7007420815462364,0.7007420815462356,5776,0.9390167537152017,142.7058580231731,True,
0.1,0.6,60.0,30.0,100,180,50,50,7,0.08075701046672622,0.08092471240166638,0.08092471240166638,20000,0.9979276795682909,1235.7164706827036,True,
0.1,0.7,70.0,20.0,100,180,50,50,20,0.2652631078691881,0.2701466875490421,0.2701466875490421,13410,0.9819224891329922,370.16926214150277,True,
0.1,0.75,75.0,15.0,100,180,50,50,25,0.46943370020921615,0.4877583422333385,0.4877583422333369,7892,0.9624308998176887,205.01955854229354,True,
0.1,0.8,80.0,10.0,100,180,50,50,29,0.8453902801575046,0.9027825904643781,0.9027825904643781,4583,0.9364273182568222,110.7686402642761,True,
0.1,0.85,85.0,5.0,100,180,50,50,34,1.5833548923428062,1.7253490702465664,1.7253490702465615,2603,0.9177011885000941,57.95928587697862,True,
0.1,0.9,90.0,0.0,100,180,50,50,-1,,,,-1,,,False,delta<=0
0.15,0.6,60.0,25.0,100,180,50,50,19,0.3148624230748771,0.3235356436594555,0.3235356436594537,11486,0.9731923800219442,309.0849554284572,True,
0.15,0.7,70.0,15.0,100,180,50,50,31,0.9039166096686472,0.9654259850402697,0.9654259850402697,4253,0.9362878394359182,103.58121860147448,True,
0.15,0.75,75.0,10.0,100,180,50,50,35,1.485005982680307,1.6287153608077167,1.6287153608077114,2695,0.9117651975381745,61.398082443581636,True,
0.15,0.8,80.0,5.0,100,180,50,50,38,2.4582436431558325,2.7446124731759136,2.7446124731759136,1683,0.8956614703099739,36.43501622809632,True,
0.15,0.85,85.0,0.0,100,180,50,50,-1,,,,-1,,,False,delta<=0
0.15,0.9,90.0,-5.0,100,180,50,50,-1,,,,-1,,,False,delta<=0
0.2,0.6,60.0,20.0,100,180,50,50,25,0.8338578001745478,0.8818658908581835,0.8818658908581832,4711,0.9455607806342109,113.39592679186796,True,
0.2,0.7,70.0,10.0,100,180,50,50,37,2.102960080706771,2.3500655464328735,2.3500655464328735,1915,0.8948516707965104,42.55200462463202,True,
0.2,0.75,75.0,5.0,100,180,50,50,40,3.2501318803209838,3.7079989529131065,3.7079989529131017,1291,0.8765190933421354,26.96872390469184,True,
0.2,0.8,80.0,0.0,100,180,50,50,-1,,,,-1,,,False,delta<=0
0.2,0.85,85.0,-5.0,100,180,50,50,-1,,,,-1,,,False,delta<=0
0.2,0.9,90.0,-10.0,100,180,50,50,-1,,,,-1,,,False,delta<=0
0.25,0.6,60.0,15.0,100,180,50,50,29,1.7700672989560653,1.9247512190555753,1.9247512190555753,2350,0.9196343306251239,51.95476641862701,True,
0.25,0.7,70.0,5.0,100,180,50,50,41,3.9533952292334806,4.580771865308649,4.580771865308649,1057,0.8630412833202956,21.830382071049083,True,
0.25,0.75,75.0,0.0,100,180,50,50,-1,,,,-1,,,False,delta<=0
0.25,0.8,80.0,-5.0,100,180,50,50,-1,,,,-1,,,False,delta<=0
0.25,0.85,85.0,-10.0,100,180,50,50,-1,,,,-1,,,False,delta<=0
0.25,0.9,90.0,-15.0,100,180,50,50,-1,,,,-1,,,False,delta<=0
0.3,0.6,60.0,10.0,100,180,50,50,35,3.237027455408743,3.61584267847944,3.61584267847944,1348,0.8952345948773416,27.656070490891135,True,
0.3,0.7,70.0,0.0,100,180,50,50,-1,,,,-1,,,False,delta<=0
0.3,0.75,75.0,-5.0,100,180,50,50,-1,,,,-1,,,False,delta<=0
0.3,0.8,80.0,-10.0,100,180,50,50,-1,,,,-1,,,False,delta<=0
0.3,0.85,85.0,-15.0,100,180,50,50,-1,,,,-1,,,False,delta<=0
0.3,0.9,90.0,-20.0,100,180,50,50,-1,,,,-1,,,False,delta<=0
