config,p,u,lam,C,S_max,X0,s_reset,E_tau,g_RTF,s_star,g_CBM,valid,skip_reason
p015_u080,0.15,0.8,80.0,100,100,50,50,17.098132223690598,5.848592038693171,40,4.9723138611157065,True,
p015_u080,0.15,0.8,80.0,100,140,50,50,23.140450298767423,4.321437081340051,39,4.033757338197844,True,
p015_u080,0.15,0.8,80.0,100,180,50,50,36.43501622809632,2.7446124731759136,38,2.4582436431558325,True,
p015_u080,0.15,0.8,80.0,100,220,50,50,50.28672515273047,1.9885963879389787,37,1.8085119813634927,True,
p015_u080,0.15,0.8,80.0,100,260,50,50,70.39417784113083,1.420572028352758,37,1.2803294758889898,True,
p015_u080,0.15,0.8,80.0,100,300,50,50,95.11855896003856,1.0513195436656295,37,0.9491336305285257,True,
p010_u085,0.1,0.85,85.0,100,100,50,50,24.892527333910284,4.0172698681251715,34,3.556935464012088,True,
p010_u085,0.1,0.85,85.0,100,140,50,50,35.616711971230366,2.807670738409982,34,2.684232260799205,True,
p010_u085,0.1,0.85,85.0,100,180,50,50,57.95928587697862,1.7253490702465664,34,1.5833548923428062,True,
p010_u085,0.1,0.85,85.0,100,220,50,50,85.23419606973091,1.1732380266505833,34,1.0924639346776646,True,
p010_u085,0.1,0.85,85.0,100,260,50,50,125.86309283735771,0.7945140846746996,34,0.7314087667556214,True,
p010_u085,0.1,0.85,85.0,100,300,50,50,180.9592993242631,0.5526104509324432,34,0.5097991927778535,True,
p005_u080,0.05,0.8,80.0,100,100,50,50,116.51511167173854,0.858257770732203,5,0.8564808604758667,True,
p005_u080,0.05,0.8,80.0,100,140,50,50,222.2150817047848,0.4500144600124446,7,0.4491134699333713,True,
p005_u080,0.05,0.8,80.0,100,180,50,50,794.0463481412343,0.12593723305206025,8,0.12537134574636616,True,
p005_u080,0.05,0.8,80.0,100,220,50,50,1981.8357366555656,0.05045826863973821,8,0.050270580496322756,True,
p005_u080,0.05,0.8,80.0,100,260,50,50,6148.640050351506,0.016263759007047938,9,0.016192312297487285,True,
p005_u080,0.05,0.8,80.0,100,300,50,50,16801.010038158805,0.005952023108901067,9,0.005927600206299122,True,
