p,u,lam,delta,lemma1_premise,lemma1_holds,valid,skip_reason
0.05,0.6,60.0,35.0,True,True,True,
0.05,0.7,70.0,25.0,True,True,True,
0.05,0.75,75.0,20.0,True,True,True,
0.05,0.8,80.0,15.0,True,True,True,
0.05,0.85,85.0,10.0,True,True,True,
0.05,0.9,90.0,5.0,True,True,True,
0.1,0.6,60.0,30.0,True,True,True,
0.1,0.7,70.0,20.0,True,True,True,
0.1,0.75,75.0,15.0,True,True,True,
0.1,0.8,80.0,10.0,True,True,True,
0.1,0.85,85.0,5.0,True,True,True,
0.1,0.9,90.0,0.0,False,False,False,delta<=0
0.15,0.6,60.0,25.0,True,True,True,
0.15,0.7,70.0,15.0,True,True,True,
0.15,0.75,75.0,10.0,True,True,True,
0.15,0.8,80.0,5.0,True,True,True,
0.15,0.85,85.0,0.0,False,False,False,delta<=0
0.15,0.9,90.0,-5.0,False,False,False,delta<=0
0.2,0.6,60.0,20.0,True,True,True,
0.2,0.7,70.0,10.0,True,True,True,
0.2,0.75,75.0,5.0,True,True,True,
0.2,0.8,80.0,0.0,False,False,False,delta<=0
0.2,0.85,85.0,-5.0,False,False,False,delta<=0
0.2,0.9,90.0,-10.0,False,False,False,delta<=0
0.25,0.6,60.0,15.0,True,True,True,
0.25,0.7,70.0,5.0,True,True,True,
0.25,0.75,75.0,0.0,False,False,False,delta<=0
0.25,0.8,80.0,-5.0,False,False,False,delta<=0
0.25,0.85,85.0,-10.0,False,False,False,delta<=0
0.25,0.9,90.0,-15.0,False,False,False,delta<=0
0.3,0.6,60.0,10.0,True,True,True,
0.3,0.7,70.0,0.0,False,False,False,delta<=0
0.3,0.75,75.0,-5.0,False,False,False,delta<=0
0.3,0.8,80.0,-10.0,False,False,False,delta<=0
0.3,0.85,85.0,-15.0,False,False,False,delta<=0
0.3,0.9,90.0,-20.0,False,False,False,delta<=0
